id,minute,second,period,playerName,playerId,teamId,h_a,x,y,type,outcomeType,qualifiers
2944995443.0,60,47.0,SecondHalf,Grant Hanley,86593,424,h,5.2,29.1,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""20.8""}, {""type"": ""PassEndY"", ""value"": ""34.0""}, {""type"": ""Length"", ""value"": ""16.7""}, {""type"": ""Angle"", ""value"": ""0.20""}]"
2944995445.0,60,48.0,SecondHalf,Ryan Christie,128882,424,h,21.5,30.1,BallRecovery,Successful,[]
2944995453.0,60,52.0,SecondHalf,Ayyoub Bouaddi,504830,495,a,63.4,69.1,BallRecovery,Successful,[]
2944995509.0,61,42.0,SecondHalf,Ryan Christie,128882,424,h,11.9,36.7,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""26.2""}, {""type"": ""PassEndY"", ""value"": ""60.3""}, {""type"": ""Length"", ""value"": ""22.0""}, {""type"": ""Angle"", ""value"": ""0.82""}]"
2944995523.0,61,47.0,SecondHalf,Nathan Patterson,396975,424,h,12.1,33.7,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""32.0""}, {""type"": ""PassEndY"", ""value"": ""35.5""}, {""type"": ""Length"", ""value"": ""20.9""}, {""type"": ""Angle"", ""value"": ""0.06""}]"
2944995581.0,62,26.0,SecondHalf,Achraf Hakimi,320834,495,a,23.6,15.5,BallRecovery,Successful,[]
2944995655.0,63,13.0,SecondHalf,Andy Robertson,115726,424,h,76.1,87.7,BallRecovery,Successful,[]
2944995707.0,64,2.0,SecondHalf,John McGinn,318449,424,h,69.2,87.5,BallRecovery,Successful,[]
2944995929.0,67,8.0,SecondHalf,Andy Robertson,115726,424,h,24.9,79.1,BallRecovery,Successful,[]
2944995945.0,67,17.0,SecondHalf,Yassine Bounou,136220,495,a,14.8,71.1,BallRecovery,Successful,[]
2944995967.0,67,41.0,SecondHalf,Nathan Patterson,396975,424,h,13.2,43.6,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""36.4""}, {""type"": ""PassEndY"", ""value"": ""100.0""}, {""type"": ""Length"", ""value"": ""46.2""}, {""type"": ""Angle"", ""value"": ""1.02""}]"
2944996189.0,72,40.0,SecondHalf,Nathan Patterson,396975,424,h,31.1,7.1,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944996193.0,72,41.0,SecondHalf,Bilal El Khannouss,433572,495,a,61.6,96.3,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""539""}, {""type"": ""Defensive""}]"
2944996245.0,73,29.0,SecondHalf,Yassine Bounou,136220,495,a,5.6,71.0,KeeperPickup,Successful,[]
2944996297.0,74,32.0,SecondHalf,Angus Gunn,318896,424,h,10.9,32.7,KeeperPickup,Successful,[]
2944996319.0,74,58.0,SecondHalf,Brahim Díaz,317541,495,a,44.9,5.1,BallRecovery,Successful,[]
2944996401.0,75,42.0,SecondHalf,Brahim Díaz,317541,495,a,24.1,8.4,BallRecovery,Successful,[]
2944996467.0,76,23.0,SecondHalf,Jack Hendry,280210,424,h,14.4,66.8,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""798""}, {""type"": ""Defensive""}]"
2944996491.0,76,25.0,SecondHalf,Angus Gunn,318896,424,h,6.6,53.9,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""30.4""}, {""type"": ""PassEndY"", ""value"": ""39.2""}, {""type"": ""Length"", ""value"": ""26.9""}, {""type"": ""Angle"", ""value"": ""5.90""}]"
2944996551.0,77,29.0,SecondHalf,Noussair Mazraoui,349932,495,a,7.4,76.3,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""BlockedCross""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""590""}]"
2944996607.0,77,33.0,SecondHalf,Neil El Aynaoui,486734,495,a,7.4,69.5,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""591""}, {""type"": ""Defensive""}]"
2944996563.0,77,35.0,SecondHalf,Yassine Bounou,136220,495,a,2.3,59.7,KeeperPickup,Successful,[]
2944996581.0,77,50.0,SecondHalf,Angus Gunn,318896,424,h,14.7,33.4,KeeperPickup,Successful,[]
2944996603.0,78,3.0,SecondHalf,Ayyoub Bouaddi,504830,495,a,26.0,70.3,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""597""}, {""type"": ""Defensive""}]"
2944996623.0,78,18.0,SecondHalf,Bilal El Khannouss,433572,495,a,28.1,74.8,BallRecovery,Successful,[]
