playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Angus Gunn,318896,424,h,11.6,56.3,12,50.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,21.7,47.2,12,53.0,Pass,FirstHalf
Scott McTominay,336915,424,h,28.6,70.8,12,57.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,25.4,59.4,12,58.0,Pass,FirstHalf
Jack Hendry,280210,424,h,18.8,69.9,13,0.0,Pass,FirstHalf
Grant Hanley,86593,424,h,25.5,24.7,13,4.0,Pass,FirstHalf
Angus Gunn,318896,424,h,10.7,40.6,13,7.0,Pass,FirstHalf
Grant Hanley,86593,424,h,19.3,12.8,13,11.0,Pass,FirstHalf
Ché Adams,256419,424,h,97.0,8.8,13,19.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,2.4,77.2,13,21.0,Pass,FirstHalf
Yassine Bounou,136220,495,a,6.3,52.3,13,27.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,16.2,45.7,13,30.0,Pass,FirstHalf
Chadi Riad,454342,495,a,14.2,60.6,13,35.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,27.4,39.9,13,42.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,27.1,88.6,13,46.0,Pass,FirstHalf
Nathan Patterson,396975,424,h,62.6,6.1,13,49.0,Interception,FirstHalf
Noussair Mazraoui,349932,495,a,30.1,100.0,13,52.0,Pass,FirstHalf
Chadi Riad,454342,495,a,28.1,70.5,14,4.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,30.4,84.0,14,6.0,Pass,FirstHalf
Issa Diop,300359,495,a,30.0,25.4,14,10.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,42.3,32.3,14,15.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,40.3,58.3,14,19.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,46.5,43.4,14,20.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,41.8,35.3,14,22.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,44.4,13.4,14,26.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,48.2,27.5,14,28.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,54.8,5.8,14,29.0,Pass,FirstHalf
Issa Diop,300359,495,a,32.3,24.4,14,32.0,Pass,FirstHalf
Chadi Riad,454342,495,a,45.2,66.7,14,39.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,44.1,86.5,14,43.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,39.5,64.0,14,46.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,42.6,30.5,14,50.0,Pass,FirstHalf
Issa Diop,300359,495,a,44.9,6.4,14,52.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,62.0,12.9,14,54.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,61.6,4.8,14,55.0,Pass,FirstHalf
Issa Diop,300359,495,a,46.4,10.5,14,58.0,Pass,FirstHalf
Scott McTominay,336915,424,h,38.3,89.9,14,58.0,BallTouch,FirstHalf
Andy Robertson,115726,424,h,24.1,88.0,15,0.0,Pass,FirstHalf
Angus Gunn,318896,424,h,7.7,59.9,15,3.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,21.4,65.7,15,6.0,Pass,FirstHalf
Scott McTominay,336915,424,h,37.3,76.7,15,9.0,Pass,FirstHalf
Ryan Christie,128882,424,h,37.2,35.1,15,12.0,Pass,FirstHalf
Nathan Patterson,396975,424,h,45.8,20.4,15,14.0,Pass,FirstHalf
John McGinn,318449,424,h,58.6,38.3,15,15.0,Pass,FirstHalf
Scott McTominay,336915,424,h,52.2,64.9,15,18.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,66.1,95.1,15,21.0,Pass,FirstHalf
Andy Robertson,115726,424,h,55.3,82.1,15,25.0,Pass,FirstHalf
Nathan Patterson,396975,424,h,75.5,5.3,15,30.0,Pass,FirstHalf
Ryan Christie,128882,424,h,68.1,17.7,15,31.0,Pass,FirstHalf
Nathan Patterson,396975,424,h,63.5,5.5,15,32.0,Pass,FirstHalf
Ryan Christie,128882,424,h,70.3,13.5,15,33.0,BallTouch,FirstHalf
Bilal El Khannouss,433572,495,a,38.8,56.2,15,38.0,TakeOn,FirstHalf
Bilal El Khannouss,433572,495,a,38.7,58.0,15,39.0,Foul,FirstHalf
Issa Diop,300359,495,a,32.9,37.1,15,45.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,38.3,26.9,15,45.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,53.3,8.9,15,49.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,65.4,21.6,15,51.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,64.8,3.1,15,53.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,53.2,12.5,15,54.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,45.3,22.9,15,57.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,45.6,26.6,15,59.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,44.9,53.3,16,1.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,56.9,27.7,16,5.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,62.3,5.6,16,8.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,64.8,25.1,16,9.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,59.6,10.2,16,12.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,61.7,28.2,16,13.0,Pass,FirstHalf
Issa Diop,300359,495,a,40.4,22.4,16,15.0,Pass,FirstHalf
Chadi Riad,454342,495,a,42.1,49.2,16,17.0,Pass,FirstHalf
Issa Diop,300359,495,a,45.0,26.6,16,19.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,51.8,27.9,16,22.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,36.7,76.9,16,25.0,Pass,FirstHalf
Ryan Christie,128882,424,h,53.1,44.8,16,28.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,39.5,80.8,16,29.0,BallTouch,FirstHalf
John McGinn,318449,424,h,67.1,27.9,16,32.0,Pass,FirstHalf
Nathan Patterson,396975,424,h,73.9,5.6,16,35.0,TakeOn,FirstHalf
Bilal El Khannouss,433572,495,a,26.0,94.4,16,35.0,Tackle,FirstHalf
Nathan Patterson,396975,424,h,72.8,5.6,16,36.0,BallTouch,FirstHalf
Noussair Mazraoui,349932,495,a,21.7,100.0,16,45.0,Pass,FirstHalf
Chadi Riad,454342,495,a,12.6,92.3,16,47.0,Pass,FirstHalf
Grant Hanley,86593,424,h,44.5,43.0,16,53.0,Pass,FirstHalf
Andy Robertson,115726,424,h,46.5,56.4,16,56.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,53.7,40.6,16,58.0,Pass,FirstHalf
Scott McTominay,336915,424,h,55.7,51.6,16,58.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,34.8,69.6,17,0.0,Interception,FirstHalf
Nathan Patterson,396975,424,h,57.7,15.9,17,2.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,38.5,75.3,17,2.0,BlockedPass,FirstHalf
Bilal El Khannouss,433572,495,a,56.7,77.1,17,4.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,44.5,66.0,17,8.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,45.1,36.3,17,12.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,62.7,10.5,17,17.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,93.0,35.6,17,21.0,TakeOn,FirstHalf
Angus Gunn,318896,424,h,7.0,64.4,17,21.0,Tackle,FirstHalf
Lewis Ferguson,396971,424,h,12.6,59.3,17,23.0,Pass,FirstHalf
Andy Robertson,115726,424,h,23.3,94.7,17,27.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,12.2,81.7,17,31.0,Pass,FirstHalf
Andy Robertson,115726,424,h,22.4,95.1,17,32.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,9.2,88.3,17,33.0,Pass,FirstHalf
Scott McTominay,336915,424,h,23.5,80.6,17,34.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,9.2,88.6,17,36.0,Pass,FirstHalf
Andy Robertson,115726,424,h,24.6,98.1,17,37.0,Pass,FirstHalf
Ryan Christie,128882,424,h,40.4,73.6,17,39.0,Pass,FirstHalf
