playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Lee Jae-Sung,142959,1159,a,25.0,81.6,9,34.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,23.3,74.9,9,36.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,11.1,73.8,9,37.0,Pass,FirstHalf
Kim Seung-Gyu,71968,1159,a,8.9,47.2,9,40.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,26.1,9.7,9,45.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,11.8,57.9,9,52.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,32.3,37.7,9,58.0,Pass,FirstHalf
Érik Lira,447638,972,h,40.6,45.7,10,1.0,Pass,FirstHalf
Luis Romo,447635,972,h,46.6,79.7,10,4.0,Pass,FirstHalf
Érik Lira,447638,972,h,53.6,58.1,10,8.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,45.3,31.9,10,10.0,Pass,FirstHalf
Kim Seung-Gyu,71968,1159,a,15.2,45.2,10,30.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,25.6,81.8,10,32.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,32.8,69.3,10,33.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,22.6,93.6,10,36.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,27.8,96.8,10,39.0,Dispossessed,FirstHalf
Brian Gutiérrez,396565,972,h,72.2,3.2,10,39.0,Tackle,FirstHalf
Seol Young-Woo,477549,1159,a,27.7,100.0,10,55.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,38.7,91.7,10,57.0,Pass,FirstHalf
Seol Young-Woo,477549,1159,a,33.2,94.8,10,59.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,40.3,96.2,10,59.0,TakeOn,FirstHalf
Luis Romo,447635,972,h,59.7,3.8,10,59.0,Tackle,FirstHalf
Lee Jae-Sung,142959,1159,a,40.3,97.5,11,1.0,Pass,FirstHalf
Luis Romo,447635,972,h,59.9,3.7,11,2.0,BallTouch,FirstHalf
Jorge Sánchez,447643,972,h,57.6,5.9,11,3.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,42.5,14.7,11,5.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,38.2,47.5,11,9.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,36.9,72.4,11,12.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,43.2,55.6,11,18.0,Foul,FirstHalf
Edson Álvarez,322696,972,h,44.9,47.9,11,34.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,38.2,60.8,11,37.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,33.8,26.8,11,42.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,31.4,8.6,11,45.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,30.4,26.2,11,46.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,8.7,46.4,11,50.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,20.3,94.2,11,54.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,32.5,35.6,11,57.0,Pass,FirstHalf
Kim Seung-Gyu,71968,1159,a,13.9,52.5,12,4.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,33.6,85.8,12,10.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,25.2,62.4,12,14.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,34.0,36.4,12,18.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,30.1,26.3,12,19.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,31.3,58.4,12,26.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,32.3,78.1,12,28.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,44.5,92.0,12,30.0,Pass,FirstHalf
Érik Lira,447638,972,h,43.0,10.2,12,33.0,Dispossessed,FirstHalf
Lee Jae-Sung,142959,1159,a,57.0,89.8,12,33.0,Tackle,FirstHalf
Seol Young-Woo,477549,1159,a,65.8,91.5,12,35.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,67.0,81.5,12,37.0,Dispossessed,FirstHalf
Roberto Alvarado,447636,972,h,33.0,18.5,12,37.0,Tackle,FirstHalf
Brian Gutiérrez,396565,972,h,36.1,28.3,12,39.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,43.6,63.4,12,41.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,39.0,78.5,12,44.0,Pass,FirstHalf
